2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10046802,Academy of Music & Sound (Exeter) Ltd,Q26,0%,0%,50%,30%,20%,0,22%,50%,78%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q27,0%,10%,10%,50%,30%,0,46%,80%,95%,10,16,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q01,4%,4%,0%,20%,72%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q02,0%,4%,0%,44%,52%,0,78%,96%,99%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q03,0%,4%,4%,28%,64%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q04,4%,4%,0%,24%,68%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale01,2%,4%,1%,29%,64%,0,74%,93%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q05,4%,4%,4%,20%,68%,0,68%,88%,96%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q06,4%,0%,0%,32%,64%,0,78%,96%,99%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q07,4%,8%,0%,36%,52%,0,68%,88%,96%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale02,4%,4%,1%,29%,61%,0,71%,91%,97%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q08,0%,4%,0%,28%,68%,0,78%,96%,99%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q09,4%,0%,4%,20%,72%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q10,8%,0%,0%,20%,72%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q11,4%,0%,8%,44%,44%,0,68%,88%,96%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale03,4%,1%,3%,28%,64%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q12,4%,0%,4%,16%,76%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q13,4%,0%,0%,16%,80%,0,78%,96%,99%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q14,4%,0%,4%,24%,68%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale04,4%,0%,3%,19%,75%,0,74%,93%,99%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q15,8%,12%,0%,28%,52%,0,59%,80%,92%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q16,8%,0%,16%,40%,36%,0,54%,76%,89%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q17,4%,0%,8%,36%,52%,0,68%,88%,96%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale05,7%,4%,8%,35%,47%,0,60%,81%,93%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q18,8%,8%,4%,24%,56%,0,59%,80%,92%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q19,0%,4%,4%,40%,52%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q20,4%,8%,4%,28%,56%,0,63%,84%,94%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale06,4%,7%,4%,31%,55%,0,65%,85%,95%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q21,4%,0%,4%,24%,68%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q22,4%,0%,0%,28%,68%,0,78%,96%,99%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale07,4%,0%,2%,26%,68%,0,75%,94%,99%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q23,4%,0%,4%,24%,68%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q24,4%,0%,4%,12%,80%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q25,4%,4%,0%,40%,52%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Scale08,4%,1%,3%,25%,67%,0,73%,92%,98%,25,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q26,13%,0%,0%,50%,38%,1,67%,88%,96%,24,29,
10047237,Academy of Music & Sound (Gateshead) Ltd,Q27,4%,4%,4%,20%,68%,0,68%,88%,96%,25,29,
10067853,ACM Guildford Limited,Q01,1%,6%,9%,66%,18%,2,79%,84%,88%,304,498,
10067853,ACM Guildford Limited,Q02,3%,10%,16%,54%,18%,0,66%,72%,77%,306,498,
10067853,ACM Guildford Limited,Q03,7%,15%,23%,45%,10%,0,49%,55%,61%,306,498,
10067853,ACM Guildford Limited,Q04,7%,16%,21%,42%,14%,0,49%,56%,62%,306,498,
10067853,ACM Guildford Limited,Scale01,5%,12%,17%,52%,15%,2,61%,67%,72%,306,498,
10067853,ACM Guildford Limited,Q05,6%,9%,15%,47%,24%,0,64%,70%,76%,306,498,
10067853,ACM Guildford Limited,Q06,4%,10%,18%,48%,20%,0,62%,68%,73%,306,498,
10067853,ACM Guildford Limited,Q07,3%,12%,16%,42%,28%,0,63%,69%,75%,306,498,
10067853,ACM Guildford Limited,Scale02,4%,10%,16%,45%,24%,0,63%,69%,75%,306,498,
10067853,ACM Guildford Limited,Q08,11%,19%,17%,36%,18%,0,47%,53%,59%,306,498,
10067853,ACM Guildford Limited,Q09,7%,10%,21%,46%,16%,1,56%,63%,68%,305,498,
10067853,ACM Guildford Limited,Q10,11%,17%,21%,37%,15%,3,45%,51%,57%,303,498,
10067853,ACM Guildford Limited,Q11,6%,13%,14%,49%,18%,1,61%,67%,72%,305,498,
10067853,ACM Guildford Limited,Scale03,8%,15%,18%,42%,17%,5,52%,59%,64%,306,498,
10067853,ACM Guildford Limited,Q12,6%,10%,11%,45%,29%,1,67%,73%,78%,305,498,
10067853,ACM Guildford Limited,Q13,7%,13%,17%,45%,19%,0,58%,64%,70%,306,498,
10067853,ACM Guildford Limited,Q14,8%,12%,19%,45%,17%,0,56%,62%,68%,306,498,
10067853,ACM Guildford Limited,Scale04,7%,11%,16%,45%,21%,1,60%,66%,72%,306,498,
10067853,ACM Guildford Limited,Q15,24%,26%,25%,22%,3%,1,20%,25%,31%,305,498,
10067853,ACM Guildford Limited,Q16,9%,15%,19%,38%,18%,0,50%,56%,62%,306,498,
10067853,ACM Guildford Limited,Q17,12%,28%,19%,34%,7%,1,35%,41%,47%,305,498,
10067853,ACM Guildford Limited,Scale05,15%,23%,21%,31%,9%,2,35%,41%,47%,306,498,
